analysis,field,node,CI
test-fields,Field 55,LiquifiedNaturalGas,0.0
test-fields,Field 55,After,0.0
test-fields,Field 56,TOTAL,11.799825827696544
test-fields,Field 56,ExplorationAndDrilling,1.7200160771600492
test-fields,Field 56,ProductionExtraction,9.713527401357828
test-fields,Field 56,SurfaceProcessing,0.0
test-fields,Field 56,TransportAndStorage,0.0
test-fields,Field 56,LiquifiedNaturalGas,0.0
test-fields,Field 56,After,0.0
test-fields,Field 56,CrudeOilDewatering,0.16269290359526029
test-fields,Field 57,TOTAL,15.130112308670025
test-fields,Field 57,ExplorationAndDrilling,1.7200090831341999
test-fields,Field 57,ProductionExtraction,13.041189777502792
test-fields,Field 57,SurfaceProcessing,0.0
test-fields,Field 57,TransportAndStorage,0.0
test-fields,Field 57,LiquifiedNaturalGas,0.0
test-fields,Field 57,After,0.0
test-fields,Field 57,CrudeOilDewatering,0.165636949967331
test-fields,Field 58,TOTAL,4.591702591517836
test-fields,Field 58,ExplorationAndDrilling,1.7200211940453436
test-fields,Field 58,ProductionExtraction,2.5027551126448855
test-fields,Field 58,SurfaceProcessing,0.0
test-fields,Field 58,TransportAndStorage,0.0
test-fields,Field 58,LiquifiedNaturalGas,0.0
test-fields,Field 58,After,0.0
test-fields,Field 58,CrudeOilDewatering,0.16563694996733094
test-fields,Field 59,TOTAL,11.971797213849477
test-fields,Field 59,ExplorationAndDrilling,1.7200063581929566
test-fields,Field 59,ProductionExtraction,9.883066905850995
test-fields,Field 59,SurfaceProcessing,0.0
test-fields,Field 59,TransportAndStorage,0.0
test-fields,Field 59,LiquifiedNaturalGas,0.0
test-fields,Field 59,After,0.0
test-fields,Field 59,CrudeOilDewatering,0.16563694996733097
test-fields,Field 60,TOTAL,6.856659670217318
test-fields,Field 60,ExplorationAndDrilling,1.7200116596657862
test-fields,Field 60,ProductionExtraction,4.804675077278794
test-fields,Field 60,SurfaceProcessing,0.0
test-fields,Field 60,TransportAndStorage,0.0
test-fields,Field 60,LiquifiedNaturalGas,0.0
test-fields,Field 60,After,0.0
test-fields,Field 60,CrudeOilDewatering,0.16678695239633656
test-fields,Field 61,TOTAL,7.353325587894864
test-fields,Field 61,ExplorationAndDrilling,1.7200164786162442
test-fields,Field 61,ProductionExtraction,5.3046967386867125
test-fields,Field 61,SurfaceProcessing,0.0
test-fields,Field 61,TransportAndStorage,0.0
test-fields,Field 61,LiquifiedNaturalGas,0.0
test-fields,Field 61,After,0.0
test-fields,Field 61,CrudeOilDewatering,0.16678695239633654
test-fields,Field 62,TOTAL,9.629846864178665
test-fields,Field 62,ExplorationAndDrilling,1.7201307593873496
test-fields,Field 62,ProductionExtraction,7.580881173295723
test-fields,Field 62,SurfaceProcessing,0.0
test-fields,Field 62,TransportAndStorage,0.0
test-fields,Field 62,LiquifiedNaturalGas,0.0
test-fields,Field 62,After,0.0
test-fields,Field 62,CrudeOilDewatering,0.17085315770895426
test-fields,Field 63,TOTAL,11.285953714972731
test-fields,Field 63,ExplorationAndDrilling,1.7220495149845942
test-fields,Field 63,ProductionExtraction,9.234976669836048
test-fields,Field 63,SurfaceProcessing,0.0
